date,CVS,Price Chopper,SUNY Albany,Walgreens,Albany Armory,Hannaford,Times Union Center,Walmart,Queensbury Mall
2021-04-16 16:50:30,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (58) Troy (77) Glenmont (75) Latham (75) Albany (74) Schenectady (79) Glenville (75) Amsterdam (93) ,Unavailable
2021-04-16 16:45:30,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (58) Troy (77) Glenmont (75) Latham (75) Albany (74) Schenectady (76) Glenville (75) Amsterdam (93) ,Unavailable
2021-04-16 16:40:29,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (58) Troy (77) Glenmont (77) Latham (75) Albany (74) Schenectady (76) Glenville (74) Amsterdam (93) ,Unavailable
2021-04-16 16:35:27,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (75) Glenmont (77) Latham (75) Albany (74) Schenectady (76) Glenville (74) Amsterdam (93) ,Unavailable
2021-04-16 16:30:29,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (66) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (75) Glenmont (77) Latham (75) Albany (74) Schenectady (78) Glenville (74) Amsterdam (93) ,Unavailable
2021-04-16 16:25:28,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (66) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (75) Glenmont (77) Latham (74) Albany (74) Schenectady (78) Glenville (75) Amsterdam (93) ,Unavailable
2021-04-16 16:20:35,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (66) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (76) Glenmont (77) Latham (74) Albany (74) Schenectady (78) Glenville (75) Amsterdam (93) ,Unavailable
2021-04-16 16:15:27,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(10) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Schenectady (135) Rotterdam (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (76) Glenmont (77) Latham (74) Albany (74) Schenectady (78) Glenville (75) Amsterdam (93) ,Unavailable
2021-04-16 16:10:29,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(10) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Schenectady (135) Rotterdam (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (76) Glenmont (77) Latham (75) Albany (74) Schenectady (81) Glenville (76) Amsterdam (93) ,Unavailable
2021-04-16 16:05:26,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(10) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Schenectady (135) Rotterdam (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (75) Glenmont (77) Latham (75) Albany (74) Schenectady (81) Glenville (76) Saratoga Springs (66) Amsterdam (94) ,Unavailable
2021-04-16 16:00:41,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(10) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Schenectady (135) Rotterdam (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (75) Glenmont (77) Latham (75) Albany (74) Schenectady (81) Glenville (76) Saratoga Springs (66) Amsterdam (94) ,Unavailable
2021-04-16 15:55:30,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(10) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Schenectady (135) Rotterdam (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (75) Glenmont (79) Latham (76) Albany (74) Schenectady (82) Glenville (76) Saratoga Springs (66) Amsterdam (94) ,Unavailable
2021-04-16 15:50:41,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(10) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (66) Schenectady (135) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (76) Glenmont (79) Latham (76) Albany (74) Schenectady (82) Glenville (76) Saratoga Springs (73) Amsterdam (94) ,Unavailable
2021-04-16 15:45:40,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(10) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (66) Schenectady (135) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (58) Troy (76) Glenmont (79) Latham (76) Albany (74) Schenectady (82) Glenville (76) Saratoga Springs (73) Amsterdam (93) ,Unavailable
